iter	Passed	Remaining
464	743	855
465	744	853
466	745	851
467	747	849
468	748	847
469	750	846
470	751	843
471	752	841
472	753	840
473	754	837
474	756	836
475	757	834
476	758	832
477	760	830
478	761	828
479	763	827
480	764	825
481	766	823
482	767	821
483	768	819
484	770	817
485	771	815
486	772	813
487	773	811
488	774	809
489	775	807
490	777	805
491	778	803
492	779	802
493	781	800
494	782	797
495	783	796
496	784	794
497	785	791
498	786	789
499	787	787
500	789	785
501	790	783
502	791	782
503	793	780
504	795	779
505	796	777
506	798	775
507	799	774
508	801	772
509	802	770
510	803	769
511	805	767
512	806	765
513	807	763
514	810	762
515	811	761
516	813	759
517	814	758
518	816	756
519	817	754
520	818	752
521	820	751
522	821	749
523	822	747
524	824	746
525	826	744
526	827	743
527	829	741
528	830	739
529	831	737
530	833	735
531	834	733
532	835	731
533	836	730
534	837	728
535	839	726
536	840	725
537	842	723
538	843	721
539	844	719
540	845	717
541	846	715
542	848	713
543	849	711
544	850	709
545	851	708
546	852	706
547	853	704
548	855	702
549	856	701
550	858	699
551	859	697
552	860	695
553	861	693
554	863	691
555	864	690
556	865	688
557	866	686
558	867	684
559	868	682
560	870	680
561	871	679
562	872	677
563	874	675
564	875	673
565	876	672
566	877	670
567	878	668
568	880	666
569	881	665
570	882	663
571	885	662
572	887	661
573	888	659
574	890	658
575	892	657
576	894	655
577	895	653
578	897	652
579	899	651
580	902	650
581	903	649
582	905	648
583	907	646
584	909	645
585	912	644
586	913	642
587	915	641
588	917	640
589	919	639
590	921	637
591	922	635
592	924	634
593	925	632
594	926	630
595	928	629
596	930	628
597	932	627
598	934	625
599	936	624
600	938	622
601	939	621
602	941	619
603	942	618
604	944	616
605	946	615
606	948	613
607	949	612
608	952	611
609	954	610
610	956	608
611	958	607
612	960	606
613	963	606
614	966	604
615	967	603
616	969	601
617	970	600
618	972	598
619	973	596
620	975	595
621	977	594
622	979	592
623	981	591
624	982	589
625	984	588
626	986	586
627	987	585
628	989	583
629	990	581
630	992	580
631	994	579
632	996	577
633	997	576
634	999	574
635	1001	573
636	1003	571
637	1004	570
638	1007	569
639	1008	567
640	1011	566
641	1013	564
642	1014	563
643	1016	561
644	1017	560
645	1018	558
646	1020	556
647	1022	555
648	1024	554
649	1026	552
650	1028	551
651	1030	549
652	1031	548
653	1033	546
654	1035	545
655	1038	544
656	1039	542
657	1041	541
658	1042	539
659	1044	538
660	1046	536
661	1047	534
662	1049	533
663	1050	531
664	1053	530
665	1054	529
666	1056	527
667	1058	525
668	1059	524
669	1061	522
670	1062	520
671	1063	519
672	1065	517
673	1066	515
674	1068	514
675	1070	513
676	1071	511
677	1073	509
678	1074	508
679	1076	506
680	1077	504
681	1079	503
682	1080	501
683	1082	500
684	1084	498
685	1085	497
686	1087	495
687	1088	493
688	1089	491
689	1091	490
690	1093	488
691	1094	487
692	1095	485
693	1098	484
694	1100	483
695	1102	481
696	1103	479
697	1105	478
698	1106	476
699	1107	474
700	1108	472
701	1110	471
702	1111	469
703	1113	468
704	1115	466
705	1116	464
706	1117	463
707	1118	461
708	1119	459
709	1120	457
710	1121	455
711	1122	454
712	1123	452
713	1124	450
714	1125	448
715	1126	446
716	1128	445
717	1129	443
718	1130	441
719	1132	440
720	1133	438
721	1134	436
722	1135	434
723	1135	433
724	1136	431
725	1137	429
726	1138	427
727	1139	425
728	1140	423
729	1141	422
730	1142	420
731	1144	418
732	1145	417
733	1146	415
734	1147	413
735	1148	411
736	1149	410
737	1150	408
738	1151	406
739	1152	404
740	1153	403
741	1155	401
742	1156	400
743	1158	398
744	1160	397
745	1161	395
746	1163	393
747	1164	392
748	1165	390
749	1167	389
750	1168	387
751	1169	385
752	1170	384
753	1172	382
754	1173	380
755	1175	379
756	1176	377
757	1177	376
758	1179	374
759	1180	372
760	1181	371
761	1183	369
762	1184	368
763	1185	366
764	1187	364
765	1188	363
766	1190	361
767	1191	359
768	1193	358
769	1194	356
770	1195	355
771	1196	353
772	1197	351
773	1199	350
774	1200	348
775	1201	346
776	1202	345
777	1203	343
778	1205	341
779	1206	340
780	1207	338
781	1208	336
782	1210	335
783	1211	333
784	1212	332
785	1213	330
786	1215	328
787	1216	327
788	1217	325
789	1218	324
790	1221	322
791	1222	321
792	1223	319
793	1224	317
794	1226	316
795	1227	314
796	1228	312
797	1229	311
798	1230	309
799	1231	307
800	1232	306
801	1233	304
802	1234	302
803	1236	301
804	1238	299
805	1239	298
806	1240	296
807	1241	295
808	1243	293
809	1244	291
810	1245	290
811	1247	288
812	1248	287
813	1250	285
814	1252	284
815	1254	282
816	1255	281
817	1257	279
818	1259	278
819	1261	276
820	1263	275
821	1264	273
822	1267	272
823	1268	270
824	1270	269
825	1271	267
826	1273	266
827	1274	264
828	1276	263
829	1278	261
830	1279	260
831	1281	258
832	1283	257
833	1284	255
834	1286	254
835	1287	252
836	1288	250
837	1290	249
838	1291	247
839	1292	246
840	1294	244
841	1295	243
842	1297	241
843	1298	240
844	1300	238
845	1301	236
846	1303	235
847	1304	233
848	1306	232
849	1307	230
850	1308	229
851	1310	227
852	1312	226
853	1313	224
854	1315	223
855	1316	221
856	1317	219
857	1318	218
858	1320	216
859	1321	215
860	1322	213
861	1324	211
862	1325	210
863	1327	208
864	1328	207
865	1330	205
866	1331	204
867	1332	202
868	1333	201
869	1335	199
870	1336	197
871	1338	196
872	1339	194
873	1341	193
874	1343	191
875	1344	190
876	1346	188
877	1347	187
878	1348	185
879	1350	184
880	1351	182
881	1352	181
882	1354	179
883	1355	177
884	1357	176
885	1358	174
886	1360	173
887	1361	171
888	1362	170
889	1364	168
890	1365	167
891	1366	165
892	1367	163
893	1369	162
894	1370	160
